"No.","Time","Source","Destination","Protocol","Length","Info"
"628","20.963734663","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"632","21.103818507","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"636","21.235829293","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"640","21.371840030","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"644","21.503817572","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"648","21.639910669","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"653","21.775730638","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"657","21.907737382","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"661","22.043746139","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"665","22.179775145","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"669","22.311756860","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"673","22.447841862","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"677","22.579831998","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"681","22.711794980","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"685","22.843762323","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"689","22.975745584","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"690","23.107873610","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"694","23.243807765","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"698","23.375843567","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"702","23.507873026","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"706","23.644096986","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"710","23.775889322","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"714","23.907846729","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"718","24.043909967","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"722","24.175964920","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"726","24.307857515","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"730","24.444040857","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"734","24.575804705","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"738","24.707904031","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"742","24.843888155","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"746","24.971805367","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"750","25.104096688","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"754","25.240063153","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"758","25.371872703","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"762","25.503861138","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"766","25.635839460","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"770","25.767875092","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"774","25.899989705","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"778","26.031883088","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"782","26.163848135","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"786","26.299910840","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"790","26.431874086","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"794","26.567866358","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"798","26.699845978","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
